StartDate,PlayerName,Age,Country,Injured,SinglesCurrentRank,SinglesHighRank,DoublesCurrentRank,DoublesHighRank,Month1Injured,Month1TimeInjured
2020-07-01,Ashleigh Barty,24,0,0,1.0,1.0,19.0,5.0,0,0
2020-07-01,Karolina Pliskova,28,1,0,2.0,1.0,94.0,11.0,0,0
2020-07-01,Naomi Osaka,22,2,0,3.0,1.0,200.0,324.0,0,0
2020-07-01,Simona Halep,28,3,0,4.0,1.0,145.0,71.0,0,0
2020-07-01,Elina Svitolina,25,4,0,5.0,3.0,1157.0,108.0,0,0
2020-07-01,Bianca Vanessa Andreescu,20,5,0,6.0,4.0,1201.0,147.0,0,0
2020-07-01,Belinda Bencic,23,6,0,7.0,7.0,113.0,59.0,0,0
2020-07-01,Petra Kvitova,30,1,0,8.0,2.0,200.0,196.0,0,0
2020-07-01,Serena Williams,38,7,0,9.0,1.0,200.0,1.0,0,0
2020-07-01,Kiki Bertens,28,8,0,10.0,4.0,178.0,16.0,0,0
2020-07-01,Madison Keys,25,7,0,11.0,7.0,200.0,115.0,0,0
2020-07-01,Aryna Sabalenka,22,9,0,12.0,9.0,5.0,2.0,0,0
2020-07-01,Johanna Konta,29,10,0,13.0,4.0,476.0,88.0,0,0
2020-07-01,Petra Martic,29,11,0,14.0,14.0,154.0,54.0,0,0
2020-07-01,Sofia Kenin,21,7,0,15.0,12.0,38.0,38.0,0,0
2020-07-01,Marketa Vondrousova,21,1,0,16.0,14.0,100.0,91.0,0,0
2020-07-01,Elise Mertens,24,12,0,17.0,12.0,6.0,2.0,0,0
2020-07-01,Angelique Kerber,32,13,0,18.0,1.0,200.0,103.0,0,0
2020-07-01,Alison Riske,29,7,0,19.0,18.0,43.0,43.0,0,0
2020-07-01,Donna Vekic,24,11,0,20.0,19.0,223.0,171.0,0,0
2020-07-01,Karolina Muchova,23,1,0,21.0,21.0,431.0,423.0,0,0
2020-07-01,Amanda Anisimova,18,7,0,22.0,21.0,411.0,386.0,0,0
2020-07-01,Maria Sakkari,24,14,0,23.0,22.0,176.0,169.0,0,0
2020-07-01,Dayana Yastremska,20,4,0,24.0,22.0,84.0,84.0,0,0
2020-07-01,Sloane A. Stephens,27,7,0,25.0,3.0,1157.0,94.0,0,0
2020-07-01,Ekaterina Alexandrova,25,15,0,26.0,26.0,99.0,98.0,0,0
2020-07-01,Danielle Rose Collins,26,7,0,27.0,23.0,102.0,101.0,0,0
2020-07-01,Qiang Wang,28,16,0,28.0,12.0,303.0,118.0,0,0
2020-07-01,Anett Kontaveit,24,17,0,29.0,14.0,103.0,102.0,0,0
2020-07-01,Elena Rybakina,21,18,0,30.0,30.0,511.0,351.0,0,0
2020-07-01,Anastasia Pavlyuchenkova,28,15,0,31.0,13.0,111.0,21.0,0,0
2020-07-01,Anastasija Sevastova,30,19,0,32.0,11.0,151.0,56.0,0,0
2020-07-01,Barbora Strycova,34,1,0,33.0,16.0,1.0,1.0,0,0
2020-07-01,Garbine Muguruza Blanco,26,20,0,34.0,1.0,475.0,10.0,0,0
2020-07-01,Caroline Wozniacki,29,21,0,35.0,1.0,200.0,57.0,0,0
2020-07-01,Su-Wei Hsieh,34,22,0,36.0,23.0,4.0,1.0,0,0
2020-07-01,Yulia Putintseva,25,18,0,37.0,27.0,161.0,160.0,0,0
2020-07-01,Julia Goerges,31,13,0,38.0,9.0,127.0,12.0,0,0
2020-07-01,Kristina Mladenovic,27,23,0,39.0,10.0,2.0,1.0,0,0
2020-07-01,Shuai Zhang,31,16,0,40.0,23.0,10.0,9.0,0,0
2020-07-01,Saisai Zheng,26,16,0,41.0,36.0,25.0,15.0,0,0
2020-07-01,Veronika Kudermetova,23,15,0,42.0,39.0,27.0,23.0,0,0
2020-07-01,Magda Linette,28,24,0,43.0,41.0,410.0,95.0,0,0
2020-07-01,Rebecca Peterson,24,25,0,44.0,43.0,259.0,95.0,0,0
2020-07-01,Jelena Ostapenko,23,19,0,45.0,5.0,22.0,22.0,0,0
2020-07-01,Caroline Garcia,26,23,0,46.0,4.0,245.0,2.0,0,0
2020-07-01,Alison Van Uytvanck,26,12,0,47.0,37.0,123.0,97.0,0,0
2020-07-01,Polona Hercog,29,26,0,48.0,35.0,1201.0,56.0,0,0
2020-07-01,Jennifer Brady,25,7,0,49.0,49.0,50.0,45.0,0,0
2020-07-01,Viktoria Azarenka,30,9,0,50.0,1.0,18.0,7.0,0,0
2020-07-01,Yafan Wang,26,16,0,51.0,47.0,69.0,49.0,0,0
2020-07-01,Ajla Tomljanovic,27,0,0,52.0,39.0,160.0,47.0,0,0
2020-07-01,Svetlana Kuznetsova,35,15,0,53.0,2.0,200.0,3.0,0,0
2020-07-01,Carla Suarez-Navarro,31,20,0,54.0,6.0,1201.0,11.0,0,0
2020-07-01,Venus Williams,40,7,0,55.0,1.0,200.0,1.0,0,0
2020-07-01,Iga Swiatek,19,24,0,56.0,49.0,448.0,442.0,0,0
