,PlayerName,Month1Carpet,CumInjured,CumInjuredTimes,CumInjuredGames,Country_Argentina,Country_Australia,Country_Austria,Country_Belarus,Country_Brazil,Country_Colombia,Country_Egypt,Country_Estonia,Country_Israel,Country_Kazakhstan,Country_Latvia,Country_Romania,Country_Russia,Country_Serbia,Country_South Korea,Country_Sweden,Country_Switzerland,Country_Thailand,Country_Venezuela,Month1InjuredType_Severe,CumInjuredType_Moderate
39,Ashleigh Barty,0,1,5,12827.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Karolina Pliskova,0,0,0,20565.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,Naomi Osaka,0,1,9,8266.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
154,Simona Halep,0,1,17,14773.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
195,Elina Svitolina,0,1,4,14674.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,Bianca Vanessa Andreescu,0,1,10,5166.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,Belinda Bencic,0,1,13,12101.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
292,Petra Kvitova,0,1,6,13882.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
333,Serena Williams,0,1,16,10372.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
374,Kiki Bertens,0,1,20,18486.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
415,Madison Keys,0,1,13,10448.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
444,Aryna Sabalenka,0,0,0,9542.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
485,Johanna Konta,0,1,21,14839.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
526,Petra Martic,0,1,12,14434.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
554,Sofia Kenin,0,1,2,8842.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
578,Marketa Vondrousova,0,1,1,5462.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
618,Elise Mertens,0,1,2,16308.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
659,Angelique Kerber,0,1,11,15706.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700,Alison Riske,0,0,0,15426.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
740,Donna Vekic,0,1,3,10961.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
769,Karolina Muchova,0,1,9,8202.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
785,Amanda Anisimova,0,1,3,2578.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
825,Maria Sakkari,0,1,7,12990.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
845,Dayana Yastremska,0,1,2,5433.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
886,Sloane A. Stephens,0,1,2,11457.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
922,Ekaterina Alexandrova,0,1,2,11845.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
962,Danielle Rose Collins,0,1,6,5492.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1003,Qiang Wang,0,1,8,12498.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1043,Anett Kontaveit,0,1,7,11330.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1064,Elena Rybakina,0,1,2,5600.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1105,Anastasia Pavlyuchenkova,0,1,8,18348.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1146,Anastasija Sevastova,0,1,10,12990.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1187,Barbora Strycova,0,1,3,23358.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1228,Caroline Wozniacki,0,1,16,14294.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1269,Su-Wei Hsieh,0,1,4,20619.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1310,Yulia Putintseva,0,1,8,11427.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1351,Julia Goerges,0,1,16,21069.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1392,Kristina Mladenovic,0,1,7,23542.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1433,Shuai Zhang,0,1,13,18230.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1473,Saisai Zheng,0,1,9,17041.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1509,Veronika Kudermetova,0,1,5,14108.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1550,Magda Linette,0,1,6,17457.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1590,Rebecca Peterson,0,1,6,11942.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1623,Jelena Ostapenko,0,1,8,13312.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1664,Caroline Garcia,0,1,1,17365.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1704,Alison Van Uytvanck,0,1,14,12961.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1745,Polona Hercog,0,1,12,13056.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1785,Jennifer Brady,0,1,2,10233.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1826,Viktoria Azarenka,0,1,28,11724.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1867,Yafan Wang,0,1,3,14320.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1908,Ajla Tomljanovic,0,1,12,12852.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1949,Svetlana Kuznetsova,0,1,7,12676.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1990,Carla Suarez-Navarro,0,1,11,14966.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031,Venus Williams,0,1,6,10161.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2047,Iga Swiatek,0,1,2,2862.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2079,Katerina Siniakova,0,1,3,15574.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100,Anna Blinkova,0,1,1,8632.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
