StartDate,EndDate,PlayerName,Age,Country,Injured,Singles_Ranking,Doubles_Ranking,Month1Injured,Month1TimeInjured,Month1InjuredType,Month1GamesPlayed,Month1MatchesPlayed,Month1Hard,Month1Clay,Month1Grass,Month1Carpet,Month1SinglesMathces,Month1DoublesMathces,Month1Tournaments,Month3Injured,Month3InjuredTimes,Month3InjuredType,Month3InjuredGames,Month3InjuredMatches,Month3Hard,Month3Clay,Month3Grass,Month3Carpet,Month3SinglesMathces,Month3DoublesMathces,Month3Tournaments,Month6Injured,Month6InjuredTimes,Month6InjuredType,Month6InjuredGames,Month6InjuredMatches,Month6Hard,Month6Clay,Month6Grass,Month6Carpet,Month6SinglesMathces,Month6DoublesMathces,Month6Tournaments,CumInjured,CumInjuredTimes,CumInjuredType,CumInjuredGames,CumInjuredMatches,CumHard,CumClay,CumGrass,CumCarpet,CumSinglesMathces,CumDoublesMathces,CumTournaments
2010-04-01,2010-07-01,Ashleigh Barty,13,Australia,N,175.0,13.0,N,0,,0.0,0,0,0,0,0,0,0,0,N,0,,0.0,0,0,0,0,0,0,0,0,N,0,,0.0,0,0,0,0,0,0,0,0,N,0,,0.0,0,0,0,0,0,0,0,0
2010-07-01,2010-10-01,Ashleigh Barty,14,Australia,N,175.0,13.0,N,0,,0.0,0,0,0,0,0,0,0,0,N,0,,22.0,1,1,0,0,0,1,0,1,N,0,,22.0,1,1,0,0,0,1,0,1,N,0,,22.0,1,1,0,0,0,1,0,1
2010-10-01,2011-01-01,Ashleigh Barty,14,Australia,N,175.0,13.0,N,0,,0.0,0,0,0,0,0,0,0,0,N,0,,0.0,0,0,0,0,0,0,0,0,N,0,,22.0,1,1,0,0,0,1,0,1,N,0,,22.0,1,1,0,0,0,1,0,1
2011-01-01,2011-04-01,Ashleigh Barty,14,Australia,N,500.0,45.0,N,0,,0.0,0,0,0,0,0,0,0,0,N,0,,153.0,7,7,0,0,0,7,0,3,N,0,,153.0,7,7,0,0,0,7,0,3,N,0,,175.0,8,8,0,0,0,8,0,4
2011-04-01,2011-07-01,Ashleigh Barty,14,Australia,N,500.0,45.0,N,0,,47.0,2,2,0,0,0,2,0,1,N,0,,186.0,9,6,0,3,0,9,0,2,N,0,,339.0,16,13,0,3,0,16,0,5,N,0,,361.0,17,14,0,3,0,17,0,6
2011-07-01,2011-10-01,Ashleigh Barty,15,Australia,N,500.0,45.0,N,0,,0.0,0,0,0,0,0,0,0,0,N,0,,51.0,3,0,3,0,0,3,0,1,N,0,,237.0,12,6,3,3,0,12,0,3,N,0,,412.0,20,14,3,3,0,20,0,7
2011-10-01,2012-01-01,Ashleigh Barty,15,Australia,N,500.0,45.0,N,0,,0.0,0,0,0,0,0,0,0,0,N,0,,20.0,1,1,0,0,0,1,0,1,N,0,,71.0,4,1,3,0,0,4,0,2,N,0,,432.0,21,15,3,3,0,21,0,8
2012-01-01,2012-04-01,Ashleigh Barty,15,Australia,N,175.0,13.0,N,0,,95.0,5,0,0,0,0,5,0,1,N,0,,95.0,5,0,0,0,0,5,0,1,N,0,,115.0,6,1,0,0,0,6,0,2,N,0,,527.0,26,15,3,3,0,26,0,9
2012-04-01,2012-07-01,Ashleigh Barty,15,Australia,N,175.0,13.0,N,0,,103.0,5,5,0,0,0,5,0,1,N,0,,496.0,26,21,0,5,0,21,6,7,N,0,,591.0,31,21,0,5,0,26,6,8,N,0,,1023.0,52,36,3,8,0,47,6,13
2012-07-01,2012-10-01,Ashleigh Barty,16,Australia,N,175.0,13.0,N,0,,130.0,6,0,0,6,0,6,0,2,N,0,,145.0,7,0,1,6,0,7,0,3,N,0,,641.0,33,21,1,11,0,28,6,10,N,0,,1168.0,59,36,4,14,0,54,6,16
